EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
144|1.090112|0.305088|4.256032|2.594656
145|1.090112|0.300128|4.023776|2.637280
146|1.090112|0.301408|4.195776|2.631616
147|1.090112|0.301856|4.178176|2.569248
148|1.090112|0.299936|4.200672|2.610816
149|1.090112|0.304000|4.203136|2.576544
150|1.090112|0.303040|4.162368|2.578816
151|1.090112|0.302400|4.153504|2.607232
152|1.090112|0.300736|5.308768|2.728224
153|1.090112|0.299872|4.174848|2.588640
154|1.090112|0.302528|4.125216|2.642816
155|1.090112|0.302816|4.245728|2.627776
156|1.090112|0.303712|4.247200|2.525120
157|1.090112|0.301312|4.161184|2.604576
158|1.090112|0.300576|4.171072|2.668256
159|1.090112|0.302752|4.151552|2.654592
160|1.090112|0.298752|4.216224|2.646464
161|1.090112|0.303648|4.110336|2.622912
162|1.090112|0.295232|4.216672|2.628960
163|1.090112|0.303232|4.247936|2.628000
164|1.090112|0.297728|4.178752|2.657248
165|1.090112|0.298016|4.159104|2.632480
166|1.090112|0.297536|4.036736|2.611424
167|1.090112|0.300032|4.292640|2.665696
168|1.090112|0.296128|4.167968|2.580448
169|1.090112|0.300480|4.149152|2.624832
170|1.090112|0.299840|4.194208|2.639264
171|1.090112|0.300160|4.257952|2.651808
172|1.090112|0.306592|4.209952|2.646176
173|1.090112|0.299616|4.152512|2.561248
174|1.090112|0.303648|4.132864|2.522816
175|1.090112|0.312960|4.132928|2.499200
176|1.090112|0.302624|4.159712|2.610080
177|1.090112|0.302848|4.280864|2.588128
178|1.090112|0.301504|4.238464|2.617952
179|1.090112|0.302464|4.128160|2.596064
180|1.090112|0.300480|4.186144|2.620160
181|1.090112|0.302752|4.684640|2.658304
182|1.090112|0.303200|4.233248|2.628704
183|1.090112|0.302784|4.240064|2.562784
184|1.090112|0.304160|4.159584|2.545696
185|1.090112|0.297600|4.771168|2.587232
186|1.090112|0.300384|4.207264|2.637472
187|1.090112|0.299008|4.584448|2.678560
188|1.090112|0.297568|4.174432|2.619328
189|1.090112|0.299904|4.110336|2.613216
190|1.090112|0.301792|4.304064|2.561216
191|1.090112|0.300128|4.189632|2.556128
192|1.090112|0.303136|4.109088|2.666912
193|1.090112|0.295232|4.637056|2.654656
194|1.090112|0.297312|4.242240|2.661376
195|1.090112|0.297920|4.324928|2.582176
196|1.090112|0.299424|4.229568|2.633280
197|1.090112|0.299936|4.266720|2.678592
198|1.090112|0.299904|4.159072|2.581088
199|1.090112|0.302144|4.150592|2.628352
200|1.090112|0.301440|4.219168|2.688640
201|1.090112|0.301408|4.283136|2.660320
202|1.090112|0.301600|4.236320|2.658336
203|1.090112|0.297056|4.163264|2.615232
204|1.090112|0.302848|4.165280|2.656960
205|1.090112|0.299008|4.360352|2.660544
