
INITIAL POPULATION FOR  W5-TTP
Individual 21: 1, 4[0], 2[0], 3[1], 5[0], 1 Profit: 39.400583 - Revenue: 300.000000 - Time: 104.239767 - Distance: 17.204651
Individual 22: 1, 3[0], 2[1], 5[0], 4[0], 1 Profit: -119.565011 - Revenue: 40.000000 - Time: 63.826004 - Distance: 34.058773
Individual 23: 1, 2[0], 3[1], 5[0], 4[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 24: 1, 3[1], 5[0], 4[0], 2[1], 1 Profit: -76.966856 - Revenue: 340.000000 - Time: 166.786743 - Distance: 15.620499
Individual 25: 1, 5[0], 3[1], 2[0], 4[0], 1 Profit: -172.194889 - Revenue: 300.000000 - Time: 188.877956 - Distance: 34.058773
Individual 26: 1, 5[0], 4[0], 3[1], 2[0], 1 Profit: 50.697621 - Revenue: 300.000000 - Time: 99.720951 - Distance: 15.620499
Individual 27: 1, 4[1], 5[0], 2[0], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 28: 1, 5[0], 4[1], 2[0], 3[0], 1 Profit: -174.936254 - Revenue: 50.000000 - Time: 89.974502 - Distance: 29.732137
Individual 29: 1, 3[0], 4[0], 5[0], 2[0], 1 Profit: -125.536174 - Revenue: 0.000000 - Time: 50.214470 - Distance: 15.620499
Individual 30: 1, 2[1], 5[1], 4[1], 3[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 31: 1, 5[0], 2[0], 4[0], 3[1], 1 Profit: 52.572878 - Revenue: 300.000000 - Time: 98.970849 - Distance: 29.732137
Individual 32: 1, 2[0], 3[1], 5[0], 4[0], 1 Profit: -45.948909 - Revenue: 300.000000 - Time: 138.379563 - Distance: 34.058773
Individual 33: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137
Individual 34: 1, 3[1], 2[0], 5[1], 4[0], 1 Profit: -223.421101 - Revenue: 330.000000 - Time: 221.368440 - Distance: 34.058773
Individual 35: 1, 5[0], 4[0], 2[0], 3[0], 1 Profit: -159.751140 - Revenue: 0.000000 - Time: 63.900456 - Distance: 29.732137
Individual 36: 1, 4[0], 5[0], 2[0], 3[1], 1 Profit: 45.192787 - Revenue: 300.000000 - Time: 101.922885 - Distance: 29.732137
Individual 37: 1, 3[0], 4[0], 2[1], 5[0], 1 Profit: -112.028014 - Revenue: 40.000000 - Time: 60.811206 - Distance: 17.204651
Individual 38: 1, 3[0], 4[1], 5[1], 2[1], 1 Profit: -52.292716 - Revenue: 120.000000 - Time: 68.917086 - Distance: 15.620499
Individual 39: 1, 2[0], 5[0], 3[0], 4[1], 1 Profit: -100.031363 - Revenue: 50.000000 - Time: 60.012545 - Distance: 34.058773
Individual 40: 1, 3[1], 4[0], 5[0], 2[0], 1 Profit: -52.775895 - Revenue: 300.000000 - Time: 141.110358 - Distance: 15.620499
Individual 41: 1, 3[1], 5[0], 4[1], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 42: 1, 4[1], 3[0], 5[0], 2[1], 1 Profit: -83.230928 - Revenue: 90.000000 - Time: 69.292371 - Distance: 15.620499
Individual 43: 1, 5[1], 3[1], 4[1], 2[0], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 44: 1, 4[0], 2[1], 3[1], 5[0], 1 Profit: 77.470499 - Revenue: 340.000000 - Time: 105.011800 - Distance: 17.204651
Individual 45: 1, 2[1], 5[0], 3[1], 4[0], 1 Profit: 46.387886 - Revenue: 340.000000 - Time: 117.444846 - Distance: 34.058773
Individual 46: 1, 5[1], 3[0], 4[0], 2[1], 1 Profit: -64.830736 - Revenue: 70.000000 - Time: 53.932295 - Distance: 15.620499
Individual 47: 1, 4[1], 5[0], 2[0], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 48: 1, 2[1], 4[0], 5[0], 3[1], 1 Profit: 99.135536 - Revenue: 340.000000 - Time: 96.345786 - Distance: 29.732137
Individual 49: 1, 5[1], 4[0], 3[1], 2[1], 1 Profit: 51.933582 - Revenue: 370.000000 - Time: 127.226567 - Distance: 15.620499
Individual 50: 1, 4[1], 5[0], 2[1], 3[0], 1 Profit: -135.475818 - Revenue: 90.000000 - Time: 90.190327 - Distance: 29.732137
Individual 51: 1, 5[0], 4[0], 3[1], 2[1], 1 Profit: 89.789359 - Revenue: 340.000000 - Time: 100.084256 - Distance: 15.620499
Individual 52: 1, 3[0], 4[0], 5[0], 2[1], 1 Profit: -85.606720 - Revenue: 40.000000 - Time: 50.242688 - Distance: 15.620499
Individual 53: 1, 4[0], 2[1], 3[0], 5[0], 1 Profit: -120.555355 - Revenue: 40.000000 - Time: 64.222142 - Distance: 17.204651
Individual 54: 1, 5[0], 3[0], 2[1], 4[0], 1 Profit: -120.621314 - Revenue: 40.000000 - Time: 64.248526 - Distance: 34.058773
Individual 55: 1, 2[1], 5[0], 4[1], 3[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 56: 1, 3[1], 5[1], 4[0], 2[0], 1 Profit: -195.579394 - Revenue: 330.000000 - Time: 210.231758 - Distance: 15.620499
Individual 57: 1, 3[1], 5[0], 4[0], 2[0], 1 Profit: -116.058594 - Revenue: 300.000000 - Time: 166.423438 - Distance: 15.620499
Individual 58: 1, 4[0], 5[0], 3[1], 2[0], 1 Profit: 33.489978 - Revenue: 300.000000 - Time: 106.604009 - Distance: 15.620499
