EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
1|1.069728|0.294560|5.375552|2.814496
2|1.069728|0.300352|5.661792|2.823232
3|1.069728|0.297312|5.329728|2.793216
4|1.069728|0.297440|5.413056|2.742688
5|1.069728|0.300992|4.344928|2.654752
6|1.069728|0.301408|4.722592|2.720448
7|1.069728|0.304096|4.586784|2.625824
8|1.069728|0.297120|4.887328|2.623808
9|1.069728|0.301312|4.234560|2.651424
10|1.069728|0.300000|4.167680|2.611040
11|1.069728|0.300288|4.148832|2.684896
12|1.069728|0.299872|4.920128|2.630944
13|1.069728|0.296128|4.203072|2.654848
14|1.069728|0.298592|5.277440|2.719968
15|1.069728|0.294688|4.393600|2.629376
16|1.069728|0.299232|5.167008|2.585280
17|1.069728|0.295904|4.793472|2.647744
18|1.069728|0.299616|4.877120|2.752736
19|1.069728|0.296320|4.681920|2.643456
20|1.069728|0.298624|4.864512|2.763712
21|1.069728|0.300480|5.042624|2.696704
22|1.069728|0.299200|4.443296|2.648128
23|1.069728|0.294720|5.040608|2.700480
24|1.069728|0.298784|4.213024|2.593056
25|1.069728|0.302016|4.182560|2.628960
26|1.069728|0.302816|4.260288|2.625152
27|1.069728|0.299648|4.263712|2.605504
28|1.069728|0.299008|4.502784|2.684576
29|1.069728|0.299936|4.299040|2.655392
30|1.069728|0.300096|4.280864|2.670144
31|1.069728|0.297536|4.233792|2.667360
32|1.069728|0.299744|5.012672|2.653344
33|1.069728|0.298624|4.163072|2.682176
34|1.069728|0.300096|4.190368|2.657568
35|1.069728|0.299104|4.319456|2.685920
36|1.069728|0.295968|4.361952|2.576800
37|1.069728|0.303456|4.076512|2.598304
38|1.069728|0.302016|4.215456|2.630240
39|1.069728|0.301344|4.134688|2.614720
40|1.069728|0.300576|4.363360|2.674112
41|1.069728|0.301600|4.455456|2.652256
42|1.069728|0.294624|4.174272|2.535264
43|1.069728|0.301440|4.134016|2.584928
44|1.069728|0.296992|4.167168|2.647456
