EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
1|1.068992|0.300224|5.832928|2.806944
2|1.068992|0.299776|5.538528|2.774560
3|1.068992|0.297632|5.381664|2.820096
4|1.068992|0.297600|5.451712|2.688192
5|1.068992|0.299744|4.871936|2.815232
6|1.068992|0.295200|4.651168|2.694176
7|1.068992|0.296480|4.473856|2.676960
8|1.068992|0.297536|4.577568|2.666592
9|1.068992|0.309504|4.835520|2.732096
10|1.068992|0.296736|4.387776|2.693504
11|1.068992|0.300704|4.664096|2.652640
12|1.068992|0.298656|4.122144|2.649856
13|1.068992|0.295264|4.117504|2.686144
14|1.068992|0.298432|4.182816|2.694400
15|1.068992|0.294720|4.215648|2.624416
16|1.068992|0.297952|4.914496|2.646304
17|1.068992|0.299616|4.675744|2.700672
18|1.068992|0.298688|4.560928|2.606336
19|1.068992|0.300032|4.373856|2.658688
20|1.068992|0.297824|4.175232|2.651328
21|1.068992|0.296480|4.507488|2.683712
22|1.068992|0.302336|4.575136|2.772736
23|1.068992|0.298496|4.596640|2.687040
24|1.068992|0.300608|4.400928|2.695168
25|1.068992|0.298336|4.678304|2.732096
26|1.068992|0.301792|4.169664|2.595968
27|1.068992|0.303616|4.087552|2.625120
28|1.068992|0.298368|4.241472|2.634944
29|1.068992|0.295136|4.219840|2.657504
30|1.068992|0.306656|4.564992|2.637472
31|1.068992|0.297600|4.673568|2.689344
32|1.068992|0.299648|4.186816|2.672320
33|1.068992|0.297696|4.244160|2.585504
34|1.068992|0.300192|4.134784|2.608288
35|1.068992|0.301568|4.169504|2.612096
36|1.068992|0.299008|4.063648|2.641536
37|1.068992|0.298656|4.126592|2.668608
38|1.068992|0.301408|4.370080|2.663104
39|1.068992|0.296832|4.209376|2.640288
40|1.068992|0.296544|4.093216|2.690944
41|1.068992|0.300384|4.258464|2.633504
42|1.068992|0.304992|4.343232|2.701856
43|1.068992|0.297504|4.232704|2.614880
44|1.068992|0.299968|4.182656|2.706496
45|1.068992|0.300960|4.242656|2.624064
46|1.068992|0.301312|4.269408|2.700256
