PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.864384 ms
Individual 19: 1, 4[0], 5[1], 2[1], 3[0], 1 Profit: -96.846755 - Revenue: 70.000000 - Time: 66.738702 - Distance: 29.732137
Individual 20: 1, 3[1], 4[0], 5[0], 2[1], 1 Profit: -13.684157 - Revenue: 340.000000 - Time: 141.473663 - Distance: 15.620499
Individual 21: 1, 3[0], 2[1], 5[0], 4[1], 1 Profit: -93.735065 - Revenue: 90.000000 - Time: 73.494026 - Distance: 34.058773
Individual 22: 1, 5[1], 3[0], 2[0], 4[1], 1 Profit: -120.143878 - Revenue: 80.000000 - Time: 80.057551 - Distance: 34.058773
Individual 23: 1, 2[0], 3[0], 4[1], 5[0], 1 Profit: -91.442650 - Revenue: 50.000000 - Time: 56.577060 - Distance: 17.204651
Individual 24: 1, 3[0], 2[1], 5[0], 4[1], 1 Profit: -93.735065 - Revenue: 90.000000 - Time: 73.494026 - Distance: 34.058773
Individual 25: 1, 2[1], 4[1], 5[1], 3[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 26: 1, 3[1], 2[0], 4[0], 5[1], 1 Profit: -171.559059 - Revenue: 330.000000 - Time: 200.623623 - Distance: 17.204651
Individual 27: 1, 3[0], 2[1], 4[0], 5[0], 1 Profit: -120.078372 - Revenue: 40.000000 - Time: 64.031349 - Distance: 17.204651
Individual 28: 1, 4[1], 3[1], 2[1], 5[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 29: 1, 5[0], 3[0], 2[1], 4[0], 1 Profit: -120.621314 - Revenue: 40.000000 - Time: 64.248526 - Distance: 34.058773
Individual 30: 1, 3[1], 5[0], 4[0], 2[1], 1 Profit: -76.966856 - Revenue: 340.000000 - Time: 166.786743 - Distance: 15.620499
Individual 31: 1, 4[1], 5[1], 3[0], 2[1], 1 Profit: -79.282783 - Revenue: 120.000000 - Time: 79.713113 - Distance: 15.620499
Individual 32: 1, 3[0], 2[0], 4[1], 5[0], 1 Profit: -134.426043 - Revenue: 50.000000 - Time: 73.770417 - Distance: 17.204651
Individual 33: 1, 5[1], 2[0], 4[0], 3[1], 1 Profit: 29.396777 - Revenue: 330.000000 - Time: 120.241289 - Distance: 29.732137
Individual 34: 1, 5[0], 3[0], 4[0], 2[1], 1 Profit: -86.665847 - Revenue: 40.000000 - Time: 50.666339 - Distance: 15.620499
Individual 35: 1, 4[1], 5[0], 2[1], 3[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 36: 1, 3[1], 5[0], 4[0], 2[0], 1 Profit: -116.058594 - Revenue: 300.000000 - Time: 166.423438 - Distance: 15.620499
Individual 37: 1, 2[0], 5[0], 3[1], 4[0], 1 Profit: 9.515846 - Revenue: 300.000000 - Time: 116.193661 - Distance: 34.058773
Individual 38: 1, 3[1], 2[1], 4[1], 5[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
