EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
142|5.294912|0.142784|3.334528|1.837824
143|5.294912|0.140352|3.434400|1.842208
144|5.294912|0.146688|3.526080|1.828224
145|5.294912|0.146656|3.296000|1.831872
146|5.294912|0.145536|3.162720|1.843328
147|5.294912|0.143840|3.163264|1.827712
148|5.294912|0.146656|3.415008|1.836928
149|5.294912|0.143744|3.270432|1.843296
150|5.294912|0.147648|3.395072|1.831232
151|5.294912|0.145408|3.389376|1.836512
152|5.294912|0.147168|3.274080|1.838720
153|5.294912|0.143488|3.176064|1.830080
154|5.294912|0.149120|3.343104|1.832704
155|5.294912|0.145248|3.342528|1.836960
156|5.294912|0.157632|3.161600|1.840736
157|5.294912|0.144320|3.310176|1.841984
158|5.294912|0.145344|3.345504|1.827616
159|5.294912|0.144192|3.448640|1.831520
160|5.294912|0.141216|3.237088|1.835776
161|5.294912|0.144000|3.157600|1.834976
162|5.294912|0.155552|3.217536|1.852320
163|5.294912|0.145440|3.358400|1.827680
164|5.294912|0.140480|3.311584|1.829824
165|5.294912|0.145216|3.389120|1.839040
166|5.294912|0.146304|3.340896|1.837472
167|5.294912|0.145280|3.372160|1.835328
168|5.294912|0.146112|3.248992|1.840032
169|5.294912|0.144640|3.156576|1.834464
170|5.294912|0.144128|2.941056|1.844832
171|5.294912|0.143776|3.098016|1.842336
172|5.294912|0.146400|3.348480|1.831264
173|5.294912|0.144672|3.296576|1.846912
174|5.294912|0.147648|3.409024|1.834176
175|5.294912|0.141344|3.316128|1.841024
176|5.294912|0.144928|3.197952|1.836384
177|5.294912|0.148000|3.314816|1.859520
178|5.294912|0.145248|3.286784|1.843648
179|5.294912|0.143968|3.306240|1.844032
180|5.294912|0.147072|3.434688|1.843456
181|5.294912|0.146560|3.343712|1.830816
182|5.294912|0.141216|3.334400|1.839168
183|5.294912|0.145824|3.354240|1.836416
184|5.294912|0.145920|3.318272|1.836192
185|5.294912|0.144160|3.172064|1.842720
186|5.294912|0.146848|3.453568|1.840800
187|5.294912|0.143968|3.149216|1.833216
188|5.294912|0.145344|3.295072|1.838400
189|5.294912|0.146656|3.321184|1.834400
190|5.294912|0.146656|3.429056|1.845120
191|5.294912|0.145312|3.305920|1.843072
192|5.294912|0.145248|3.270272|1.844224
193|5.294912|0.146560|3.436576|1.848768
194|5.294912|0.145120|3.264256|1.834336
195|5.294912|0.146368|3.475456|1.838912
196|5.294912|0.147232|3.418304|1.840288
197|5.294912|0.153248|3.191744|1.853408
198|5.294912|0.141408|3.255264|1.840064
199|5.294912|0.143200|2.442016|1.835648
200|5.294912|0.144672|3.384608|1.842912
201|5.294912|0.147072|3.419264|1.845568
202|5.294912|0.145184|3.339968|1.844256
203|5.294912|0.144000|3.410976|1.847040
204|5.294912|0.143936|3.239904|1.834848
205|5.294912|0.146400|3.313216|1.841760
206|5.294912|0.146656|3.257632|1.852896
207|5.294912|0.145248|3.450720|1.836672
208|5.294912|0.143552|3.215168|1.838400
209|5.294912|0.145056|3.335552|1.835776
210|5.294912|0.144320|3.119488|1.849088
211|5.294912|0.145312|3.303584|1.834848
212|5.294912|0.153568|3.404224|1.845888
213|5.294912|0.143296|3.243488|1.837824
214|5.294912|0.146656|3.441472|1.849632
215|5.294912|0.145344|3.400128|1.835360
216|5.294912|0.143968|3.274592|1.842592
217|5.294912|0.146784|3.381824|1.853536
218|5.294912|0.145952|3.370112|1.860896
219|5.294912|0.144032|3.371456|1.840000
220|5.294912|0.143936|3.140512|1.831168
221|5.294912|0.145696|3.292512|1.847136
222|5.294912|0.142560|3.420192|1.832896
223|5.294912|0.145312|3.289472|1.841920
224|5.294912|0.145440|3.339072|1.848320
225|5.294912|0.145312|3.432096|1.834144
226|5.294912|0.143360|3.254848|1.854016
227|5.294912|0.142912|3.381728|1.842016
228|5.294912|0.144256|3.415040|1.839040
229|5.294912|0.146752|3.592480|1.845248
230|5.294912|0.145312|3.424736|1.849472
231|5.294912|0.142976|3.258848|1.844576
232|5.294912|0.145888|3.436128|1.842944
233|5.294912|0.146432|3.416928|1.877696
234|5.294912|0.146560|3.366336|1.843616
235|5.294912|0.146240|3.473472|1.871264
236|5.294912|0.142528|3.134528|1.846624
237|5.294912|0.144960|3.270816|1.848480
238|5.294912|0.145088|3.289088|1.849440
