EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
1|1.067808|0.308416|5.758848|2.787360
2|1.067808|0.297568|5.434400|2.691648
3|1.067808|0.301152|5.565664|2.816768
4|1.067808|0.301120|4.942944|2.742624
5|1.067808|0.302976|4.643296|2.793120
6|1.067808|0.296352|4.508736|2.774080
7|1.067808|0.295744|4.251904|2.665024
8|1.067808|0.298304|4.161216|2.657472
9|1.067808|0.303520|4.197344|2.656768
10|1.067808|0.298528|4.218208|2.694080
11|1.067808|0.299936|4.268896|2.592160
12|1.067808|0.297248|4.202496|2.612736
13|1.067808|0.300128|4.199040|2.693728
14|1.067808|0.299872|4.201824|2.663456
15|1.067808|0.301184|4.270304|2.642624
16|1.067808|0.304032|4.128896|2.659904
17|1.067808|0.297664|4.169920|2.637632
18|1.067808|0.303712|4.932512|2.747808
19|1.067808|0.298656|4.797280|2.672992
20|1.067808|0.300288|4.904000|2.710912
21|1.067808|0.301152|4.489664|2.778176
22|1.067808|0.300160|4.349472|2.686560
23|1.067808|0.296192|4.231648|2.643584
24|1.067808|0.295392|4.273728|2.672672
25|1.067808|0.301888|4.579328|2.696192
26|1.067808|0.297280|4.079936|2.605536
27|1.067808|0.298048|4.307392|2.629184
28|1.067808|0.300640|4.173696|2.645248
29|1.067808|0.299232|4.493600|2.611808
30|1.067808|0.299136|4.104704|2.657792
31|1.067808|0.301472|4.668128|2.670080
32|1.067808|0.296128|4.237184|2.675168
33|1.067808|0.294784|4.131200|2.652672
34|1.067808|0.296256|4.433120|2.645728
35|1.067808|0.297408|4.168672|2.692192
36|1.067808|0.305888|4.363840|2.650976
37|1.067808|0.299968|4.361216|2.674176
38|1.067808|0.301504|4.241696|2.658464
39|1.067808|0.301184|4.175840|2.690464
40|1.067808|0.300512|4.676896|2.646208
41|1.067808|0.300096|4.603520|2.663232
42|1.067808|0.295040|4.176320|2.636192
43|1.067808|0.301440|4.175520|2.722784
44|1.067808|0.297568|4.270592|2.637696
45|1.067808|0.302400|4.400512|2.669696
46|1.067808|0.300256|4.072000|2.616000
47|1.067808|0.299840|4.333344|2.594112
48|1.067808|0.295648|4.167296|2.615296
49|1.067808|0.297952|4.628800|2.691904
50|1.067808|0.299968|4.176704|2.601952
51|1.067808|0.295424|4.093792|2.601696
52|1.067808|0.296160|4.146816|2.681408
53|1.067808|0.301184|4.190368|2.711584
54|1.067808|0.301504|4.570272|2.664640
55|1.067808|0.298656|4.432384|2.706176
56|1.067808|0.296704|4.347168|2.692448
57|1.067808|0.297504|4.397216|2.688544
58|1.067808|0.300928|4.638592|2.681920
59|1.067808|0.301536|4.219744|2.629568
60|1.067808|0.303328|4.098496|2.654112
61|1.067808|0.299936|4.264768|2.664064
62|1.067808|0.300000|4.297056|2.629280
63|1.067808|0.299776|4.177152|2.634816
64|1.067808|0.297280|4.131648|2.645920
65|1.067808|0.300736|4.263424|2.668672
66|1.067808|0.300032|4.139520|2.662784
67|1.067808|0.302048|4.254496|2.697888
68|1.067808|0.297696|4.224480|2.652032
69|1.067808|0.303296|4.284960|2.670336
70|1.067808|0.302272|4.264928|2.648736
71|1.067808|0.301184|4.253536|2.642176
72|1.067808|0.301184|4.175136|2.654272
73|1.067808|0.296096|4.188960|2.666944
74|1.067808|0.299648|4.363296|2.668832
75|1.067808|0.297920|4.238656|2.618752
76|1.067808|0.301472|4.148320|2.641792
77|1.067808|0.299808|4.248256|2.591136
78|1.067808|0.299296|5.199424|2.740160
79|1.067808|0.297472|4.638624|2.667584
80|1.067808|0.302112|4.297088|2.666592
81|1.067808|0.294720|4.617856|2.726624
82|1.067808|0.298848|4.597312|2.692000
83|1.067808|0.297152|4.490368|2.637888
84|1.067808|0.300288|4.582080|2.698112
85|1.067808|0.295520|4.531360|2.673888
86|1.067808|0.300192|4.202240|2.636064
87|1.067808|0.297088|4.063648|2.681344
88|1.067808|0.296160|4.381792|2.709568
89|1.067808|0.298816|4.256288|2.702880
90|1.067808|0.301632|4.182144|2.648064
91|1.067808|0.302784|4.207200|2.632032
92|1.067808|0.298464|4.122592|2.666208
93|1.067808|0.301504|4.071744|2.630080
94|1.067808|0.299712|4.169088|2.613568
95|1.067808|0.296000|4.076448|2.613248
96|1.067808|0.299680|4.181888|2.678816
97|1.067808|0.299040|4.204416|2.599744
98|1.067808|0.304672|4.210464|2.586656
99|1.067808|0.296000|4.606848|2.622624
100|1.067808|0.305536|4.198784|2.627872
101|1.067808|0.297024|4.402208|2.684000
102|1.067808|0.305120|4.277056|2.640256
103|1.067808|0.297088|4.171296|2.626624
104|1.067808|0.302144|4.194432|2.601376
105|1.067808|0.295648|4.241312|2.615296
106|1.067808|0.301024|4.323776|2.626784
107|1.067808|0.301408|4.207968|2.680672
108|1.067808|0.305440|4.309632|2.688704
109|1.067808|0.302304|4.240480|2.644288
110|1.067808|0.301792|4.171232|2.704224
111|1.067808|0.301472|4.196544|2.624128
112|1.067808|0.299360|4.168320|2.611168
113|1.067808|0.303680|4.255232|2.587936
114|1.067808|0.302656|4.345920|2.559808
115|1.067808|0.305120|4.336032|2.620384
116|1.067808|0.304096|4.222656|2.641920
117|1.067808|0.302784|4.155616|2.625664
118|1.067808|0.303872|4.078656|2.601792
119|1.067808|0.300416|4.201216|2.599840
120|1.067808|0.300800|4.269792|2.594784
121|1.067808|0.302496|4.214080|2.592160
122|1.067808|0.303840|4.271680|2.633216
123|1.067808|0.294496|4.220672|2.548192
124|1.067808|0.301184|4.139456|2.613440
125|1.067808|0.301440|4.769664|2.618592
126|1.067808|0.304128|4.243136|2.616640
127|1.067808|0.298368|4.060448|2.674656
128|1.067808|0.300928|4.159136|2.553248
129|1.067808|0.303200|4.283008|2.594080
130|1.067808|0.299808|4.129760|2.697152
131|1.067808|0.302912|4.192160|2.665312
132|1.067808|0.306688|4.300768|2.700608
133|1.067808|0.297120|4.124832|2.606336
134|1.067808|0.301248|4.106336|2.622240
135|1.067808|0.302592|4.148608|2.685824
136|1.067808|0.300992|4.108960|2.642208
137|1.067808|0.299232|4.105408|2.595584
138|1.067808|0.302208|4.172512|2.606304
139|1.067808|0.299008|4.156960|2.615584
140|1.067808|0.304096|4.120608|2.582528
141|1.067808|0.301408|4.125248|2.560544
142|1.067808|0.299040|4.090720|2.607968
143|1.067808|0.301344|4.185664|2.569824
144|1.067808|0.302976|4.425024|2.618336
145|1.067808|0.299520|4.201792|2.633216
146|1.067808|0.302432|4.351936|2.660512
147|1.067808|0.294592|4.728832|2.689600
148|1.067808|0.302752|4.158944|2.605152
149|1.067808|0.298848|4.177024|2.596544
150|1.067808|0.303904|4.171904|2.699712
151|1.067808|0.302752|4.161952|2.620416
152|1.067808|0.299040|4.336608|2.650592
153|1.067808|0.301984|4.237280|2.619040
154|1.067808|0.301600|4.173216|2.597728
155|1.067808|0.300064|4.189952|2.627136
156|1.067808|0.307008|4.359872|2.560672
157|1.067808|0.300640|4.182240|2.557888
158|1.067808|0.301248|4.179328|2.599296
159|1.067808|0.301792|4.105920|2.626816
160|1.067808|0.299072|4.185440|2.623616
161|1.067808|0.300352|4.284224|2.687072
162|1.067808|0.298528|4.307968|2.633440
163|1.067808|0.297184|4.130016|2.581408
164|1.067808|0.304128|4.157568|2.566080
165|1.067808|0.302080|4.154272|2.711200
166|1.067808|0.298720|4.185856|2.603328
167|1.067808|0.298816|4.356320|2.638720
168|1.067808|0.299744|4.131872|2.661920
169|1.067808|0.298688|4.267040|2.580480
170|1.067808|0.299200|4.233120|2.558592
171|1.067808|0.302368|4.185216|2.694272
172|1.067808|0.304288|4.104544|2.577120
173|1.067808|0.300192|4.185984|2.627936
174|1.067808|0.302240|4.105824|2.660096
175|1.067808|0.300224|4.151744|2.604160
176|1.067808|0.299904|4.143392|2.624160
177|1.067808|0.301792|4.160576|2.630240
178|1.067808|0.302272|4.192320|2.621760
179|1.067808|0.300832|4.220000|2.657088
180|1.067808|0.304000|4.166624|2.616032
181|1.067808|0.303136|4.232128|2.632256
182|1.067808|0.302848|4.208704|2.581792
183|1.067808|0.301216|4.156768|2.604864
184|1.067808|0.302624|4.163296|2.564960
185|1.067808|0.300000|4.157536|2.584928
186|1.067808|0.299808|4.177728|2.541472
187|1.067808|0.301376|4.231936|2.630752
188|1.067808|0.300288|4.178432|2.641184
189|1.067808|0.303872|4.347488|2.645216
190|1.067808|0.301664|4.155744|2.600032
191|1.067808|0.298496|4.194304|2.600160
192|1.067808|0.299488|4.207456|2.582368
193|1.067808|0.301312|4.314112|2.579936
194|1.067808|0.302080|4.159488|2.629376
195|1.067808|0.301312|4.147168|2.586368
196|1.067808|0.303296|4.234752|2.602656
197|1.067808|0.300992|4.267488|2.659200
198|1.067808|0.300480|4.281248|2.607840
199|1.067808|0.302624|4.196384|2.600672
200|1.067808|0.301312|4.217024|2.622880
201|1.067808|0.300928|4.111072|2.647712
202|1.067808|0.302912|4.323232|2.653440
203|1.067808|0.301280|4.230080|2.593344
204|1.067808|0.301664|4.112288|2.561248
205|1.067808|0.302528|4.237632|2.680896
206|1.067808|0.300480|4.141824|2.575200
207|1.067808|0.301024|4.137856|2.556096
208|1.067808|0.301376|4.165184|2.570272
209|1.067808|0.299808|4.277152|2.643520
210|1.067808|0.301152|4.156768|2.598208
211|1.067808|0.299584|4.223552|2.598688
212|1.067808|0.302400|4.313536|2.649696
213|1.067808|0.300704|4.125440|2.596704
214|1.067808|0.302880|4.109024|2.573120
215|1.067808|0.305152|4.203456|2.657568
216|1.067808|0.300032|4.399392|2.608896
217|1.067808|0.301344|4.142912|2.541632
218|1.067808|0.302400|4.129600|2.627680
219|1.067808|0.297376|4.199968|2.599968
220|1.067808|0.303872|4.207584|2.608320
221|1.067808|0.301472|4.212160|2.565024
222|1.067808|0.301088|4.064992|2.545216
223|1.067808|0.302560|4.072000|2.561088
224|1.067808|0.301472|4.150240|2.651808
225|1.067808|0.306816|4.104896|2.606336
226|1.067808|0.298752|4.094816|2.618016
227|1.067808|0.302688|4.132352|2.566848
228|1.067808|0.305184|4.210400|2.606656
229|1.067808|0.300352|4.203168|2.645536
230|1.067808|0.301184|4.215456|2.615648
231|1.067808|0.302848|4.241632|2.643200
232|1.067808|0.300096|4.224960|2.563200
233|1.067808|0.301312|4.106432|2.613280
234|1.067808|0.301408|4.189344|2.608000
235|1.067808|0.302304|4.187968|2.631968
236|1.067808|0.300928|4.140224|2.581184
237|1.067808|0.299840|4.155616|2.595744
238|1.067808|0.302944|4.180992|2.582720
239|1.067808|0.300672|4.250880|2.615648
240|1.067808|0.301312|4.234944|2.614848
241|1.067808|0.301376|4.089856|2.600256
242|1.067808|0.301984|4.108576|2.618624
243|1.067808|0.302752|4.206464|2.674400
244|1.067808|0.301120|4.190688|2.638016
245|1.067808|0.303872|4.114976|2.683072
246|1.067808|0.302432|4.187744|2.543936
247|1.067808|0.302656|4.181888|2.554240
248|1.067808|0.302464|4.276032|2.550048
249|1.067808|0.302272|4.130592|2.606880
250|1.067808|0.304352|4.214912|2.609472
251|1.067808|0.300256|4.087840|2.598624
252|1.067808|0.304128|4.078848|2.587680
253|1.067808|0.301376|4.228960|2.642464
254|1.067808|0.303456|4.247040|2.578848
255|1.067808|0.303168|4.297760|2.616160
256|1.067808|0.299776|4.209184|2.588608
257|1.067808|0.300608|4.161888|2.562464
258|1.067808|0.300992|4.176736|2.632256
259|1.067808|0.300480|4.146432|2.622528
260|1.067808|0.303072|4.240128|2.649536
261|1.067808|0.301248|4.266784|2.602144
262|1.067808|0.302336|4.206848|2.624384
263|1.067808|0.300768|4.312192|2.619776
264|1.067808|0.302720|4.148032|2.638848
265|1.067808|0.303168|4.263232|2.567168
266|1.067808|0.301344|4.154016|2.582112
267|1.067808|0.300736|4.228384|2.569824
268|1.067808|0.301408|4.176416|2.619328
269|1.067808|0.300992|4.124768|2.614496
270|1.067808|0.300960|4.217152|2.580288
271|1.067808|0.304160|4.284128|2.595392
272|1.067808|0.301152|4.195168|2.607776
273|1.067808|0.299936|4.222304|2.633568
274|1.067808|0.301152|4.274880|2.642816
275|1.067808|0.299520|4.336672|2.612576
276|1.067808|0.302464|4.182624|2.613280
277|1.067808|0.302656|4.186816|2.627232
278|1.067808|0.301472|4.284928|2.618240
279|1.067808|0.303520|4.229664|2.605280
280|1.067808|0.302752|4.138304|2.680096
281|1.067808|0.298624|4.072672|2.594080
282|1.067808|0.302848|4.142752|2.603360
283|1.067808|0.303968|4.165984|2.603552
284|1.067808|0.302784|4.135840|2.680064
285|1.067808|0.302592|4.148608|2.633600
286|1.067808|0.301280|4.278656|2.575776
287|1.067808|0.300928|4.139872|2.594208
288|1.067808|0.302304|4.161024|2.629888
289|1.067808|0.298880|4.201216|2.655168
290|1.067808|0.300832|4.866496|2.767840
291|1.067808|0.299648|4.696480|2.613472
292|1.067808|0.297376|4.161600|2.692416
293|1.067808|0.299520|4.992928|2.722912
294|1.067808|0.298336|4.691840|2.717056
295|1.067808|0.302592|4.232288|2.618592
296|1.067808|0.303680|4.077568|2.636320
297|1.067808|0.301952|4.194656|2.697184
298|1.067808|0.302528|4.221216|2.687040
299|1.067808|0.301568|4.278592|2.574304
300|1.067808|0.300096|4.087200|2.591456
301|1.067808|0.301568|4.339488|2.573888
302|1.067808|0.301568|4.265504|2.676512
303|1.067808|0.295104|4.044736|2.616224
304|1.067808|0.301568|4.316064|2.674240
305|1.067808|0.301152|4.243680|2.656576
306|1.067808|0.300640|4.074368|2.637728
307|1.067808|0.301760|4.681056|2.695488
308|1.067808|0.298656|4.259200|2.678624
309|1.067808|0.297440|4.132704|2.607712
310|1.067808|0.303744|4.275872|2.646848
311|1.067808|0.295744|4.208320|2.708096
