EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
0|10.218464|-1.000000|-1.000000|-1.000000
1|10.218464|0.338208|6.518880|26.970272
2|10.218464|0.335040|6.173888|3.063488
3|10.218464|0.331968|5.719488|2.989472
4|10.218464|0.336768|6.224288|3.002656
5|10.218464|0.334848|6.240256|3.045408
6|10.218464|0.336224|6.199808|3.077312
7|10.218464|0.335264|5.852224|3.046880
8|10.218464|0.333344|5.646624|2.995616
9|10.218464|0.350912|5.381952|3.051648
10|10.218464|0.337472|5.371616|3.002272
11|10.218464|0.336960|4.968768|2.997824
12|10.218464|0.333920|4.712384|2.872096
13|10.218464|0.336448|5.316960|3.059968
14|10.218464|0.340096|5.392224|2.979008
15|10.218464|0.331072|4.446912|2.764640
16|10.218464|0.319328|4.329216|2.716256
17|10.218464|0.307008|4.342912|2.697472
18|10.218464|0.307264|4.286912|2.675392
19|10.218464|0.308384|4.233856|2.697440
20|10.218464|0.305984|4.280928|2.754336
21|10.218464|0.306080|4.863616|2.685344
22|10.218464|0.300544|4.314016|2.652736
23|10.218464|0.303680|4.199712|2.732992
24|10.218464|0.300960|5.260192|2.714080
25|10.218464|0.318496|4.405536|2.760992
26|10.218464|0.305888|4.202624|2.667136
27|10.218464|0.305984|4.203584|2.662272
28|10.218464|0.308480|4.286208|2.656096
29|10.218464|0.308128|4.373952|2.715072
30|10.218464|0.308768|4.694816|2.736480
31|10.218464|0.306560|4.389184|2.698816
32|10.218464|0.305024|4.822784|2.707744
33|10.218464|0.304512|4.381216|2.673152
34|10.218464|0.302400|4.143392|2.730432
35|10.218464|0.295264|4.256416|2.668832
36|10.218464|0.301376|4.506016|2.657216
37|10.218464|0.297152|4.190720|2.634720
38|10.218464|0.298016|4.299168|2.653632
39|10.218464|0.301376|4.083328|2.670080
40|10.218464|0.298688|4.095424|2.629536
41|10.218464|0.295424|4.237952|2.691232
42|10.218464|0.295360|4.192128|2.605920
43|10.218464|0.301344|4.508928|2.598688
44|10.218464|0.297600|4.195264|2.679936
45|10.218464|0.294880|4.163744|2.629504
46|10.218464|0.300128|4.288480|2.657984
47|10.218464|0.299712|4.377696|2.640960
48|10.218464|0.297312|4.441792|2.700384
49|10.218464|0.302560|4.270336|2.670944
50|10.218464|0.300640|4.285984|2.623456
51|10.218464|0.300032|4.219328|2.634528
52|10.218464|0.297312|4.126176|2.639296
53|10.218464|0.298400|4.355968|2.538304
54|10.218464|0.303072|4.188800|2.716288
55|10.218464|0.300512|4.189536|2.654656
56|10.218464|0.301184|4.759072|2.668000
57|10.218464|0.298752|5.198848|2.731040
58|10.218464|0.295872|4.753024|2.650176
59|10.218464|0.300384|4.813152|2.655232
60|10.218464|0.300064|4.637312|2.736000
61|10.218464|0.297152|4.115520|2.670176
62|10.218464|0.298016|4.158432|2.596928
63|10.218464|0.295840|4.033536|2.662112
64|10.218464|0.302496|4.198400|2.713024
