PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.000292 ms
Individual 40: 1, 3[1], 2[1], 5[0], 4[0], 1 Profit: -137.334588 - Revenue: 340.000000 - Time: 190.933835 - Distance: 34.058773
Individual 41: 1, 3[1], 4[0], 2[0], 5[0], 1 Profit: -146.787907 - Revenue: 300.000000 - Time: 178.715163 - Distance: 17.204651
Individual 42: 1, 5[0], 2[0], 4[1], 3[0], 1 Profit: -134.779952 - Revenue: 50.000000 - Time: 73.911981 - Distance: 29.732137
Individual 43: 1, 3[1], 2[1], 4[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 44: 1, 2[0], 5[0], 4[1], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 45: 1, 5[0], 4[1], 2[0], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 46: 1, 4[0], 5[0], 2[0], 3[0], 1 Profit: -159.239628 - Revenue: 0.000000 - Time: 63.695851 - Distance: 29.732137
Individual 47: 1, 2[0], 3[0], 5[1], 4[1], 1 Profit: -88.090091 - Revenue: 80.000000 - Time: 67.236036 - Distance: 34.058773
Individual 48: 1, 5[0], 2[0], 3[0], 4[1], 1 Profit: -116.527173 - Revenue: 50.000000 - Time: 66.610869 - Distance: 34.058773
Individual 49: 1, 2[0], 4[1], 5[0], 3[0], 1 Profit: -136.582372 - Revenue: 50.000000 - Time: 74.632949 - Distance: 29.732137
Individual 50: 1, 2[1], 4[1], 3[0], 5[0], 1 Profit: -71.253378 - Revenue: 90.000000 - Time: 64.501351 - Distance: 17.204651
Individual 51: 1, 2[0], 5[1], 4[1], 3[0], 1 Profit: -91.783164 - Revenue: 80.000000 - Time: 68.713266 - Distance: 29.732137
Individual 52: 1, 4[0], 3[0], 5[0], 2[0], 1 Profit: -126.083789 - Revenue: 0.000000 - Time: 50.433515 - Distance: 15.620499
Individual 53: 1, 4[1], 3[1], 2[0], 5[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 54: 1, 4[1], 5[1], 2[0], 3[0], 1 Profit: -163.542806 - Revenue: 80.000000 - Time: 97.417123 - Distance: 29.732137
Individual 55: 1, 5[1], 4[1], 3[0], 2[0], 1 Profit: -93.948653 - Revenue: 80.000000 - Time: 69.579461 - Distance: 15.620499
Individual 56: 1, 4[0], 3[0], 5[0], 2[0], 1 Profit: -126.083789 - Revenue: 0.000000 - Time: 50.433515 - Distance: 15.620499
Individual 57: 1, 2[0], 5[0], 3[0], 4[0], 1 Profit: -126.083789 - Revenue: 0.000000 - Time: 50.433515 - Distance: 34.058773
Individual 58: 1, 4[1], 2[1], 3[0], 5[0], 1 Profit: -137.146972 - Revenue: 90.000000 - Time: 90.858789 - Distance: 17.204651
Individual 59: 1, 4[0], 2[0], 5[1], 3[0], 1 Profit: -143.308444 - Revenue: 30.000000 - Time: 69.323378 - Distance: 29.732137
Individual 60: 1, 4[1], 5[1], 3[0], 2[1], 1 Profit: -79.282783 - Revenue: 120.000000 - Time: 79.713113 - Distance: 15.620499
Individual 61: 1, 4[0], 3[0], 2[1], 5[0], 1 Profit: -102.748075 - Revenue: 40.000000 - Time: 57.099230 - Distance: 17.204651
Individual 62: 1, 3[0], 2[1], 4[1], 5[0], 1 Profit: -94.982510 - Revenue: 90.000000 - Time: 73.993004 - Distance: 17.204651
Individual 63: 1, 5[0], 3[1], 4[1], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 64: 1, 4[1], 5[0], 2[0], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 65: 1, 2[0], 3[1], 4[1], 5[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 66: 1, 4[1], 3[0], 2[0], 5[0], 1 Profit: -148.833048 - Revenue: 50.000000 - Time: 79.533219 - Distance: 17.204651
Individual 67: 1, 3[0], 4[0], 2[0], 5[1], 1 Profit: -123.528092 - Revenue: 30.000000 - Time: 61.411237 - Distance: 17.204651
Individual 68: 1, 4[0], 3[1], 2[0], 5[1], 1 Profit: -41.399344 - Revenue: 330.000000 - Time: 148.559738 - Distance: 17.204651
Individual 69: 1, 3[1], 2[0], 4[0], 5[1], 1 Profit: -171.559059 - Revenue: 330.000000 - Time: 200.623623 - Distance: 17.204651
Individual 70: 1, 5[1], 4[0], 3[0], 2[0], 1 Profit: -94.158760 - Revenue: 30.000000 - Time: 49.663504 - Distance: 15.620499
Individual 71: 1, 2[1], 4[1], 3[0], 5[0], 1 Profit: -71.253378 - Revenue: 90.000000 - Time: 64.501351 - Distance: 17.204651
Individual 72: 1, 3[0], 5[0], 2[1], 4[0], 1 Profit: -129.389741 - Revenue: 40.000000 - Time: 67.755896 - Distance: 34.058773
Individual 73: 1, 2[1], 3[0], 4[0], 5[1], 1 Profit: -48.800189 - Revenue: 70.000000 - Time: 47.520075 - Distance: 17.204651
Individual 74: 1, 4[0], 5[1], 2[1], 3[1], 1 Profit: 61.532194 - Revenue: 370.000000 - Time: 123.387122 - Distance: 29.732137
Individual 75: 1, 5[0], 4[1], 2[0], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 76: 1, 4[1], 5[1], 3[1], 2[0], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 77: 1, 4[0], 3[1], 5[0], 2[0], 1 Profit: 14.101120 - Revenue: 300.000000 - Time: 114.359552 - Distance: 15.620499
Individual 78: 1, 5[1], 2[0], 3[1], 4[0], 1 Profit: -60.451901 - Revenue: 330.000000 - Time: 156.180760 - Distance: 34.058773
Individual 79: 1, 4[0], 2[0], 3[1], 5[0], 1 Profit: 39.400583 - Revenue: 300.000000 - Time: 104.239767 - Distance: 17.204651
Individual 80: 1, 2[0], 4[1], 3[1], 5[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 81: 1, 2[0], 5[1], 4[1], 3[0], 1 Profit: -91.783164 - Revenue: 80.000000 - Time: 68.713266 - Distance: 29.732137
Individual 82: 1, 3[0], 5[1], 4[0], 2[1], 1 Profit: -80.210645 - Revenue: 70.000000 - Time: 60.084258 - Distance: 15.620499
Individual 83: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 84: 1, 3[0], 4[1], 2[0], 5[0], 1 Profit: -154.360113 - Revenue: 50.000000 - Time: 81.744045 - Distance: 17.204651
Individual 85: 1, 5[1], 2[0], 4[1], 3[0], 1 Profit: -121.944552 - Revenue: 80.000000 - Time: 80.777821 - Distance: 29.732137
Individual 86: 1, 2[0], 5[0], 3[0], 4[1], 1 Profit: -100.031363 - Revenue: 50.000000 - Time: 60.012545 - Distance: 34.058773
Individual 87: 1, 4[1], 5[1], 3[1], 2[0], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 88: 1, 5[1], 2[0], 4[1], 3[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 89: 1, 3[1], 5[0], 4[1], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 90: 1, 4[0], 2[0], 5[0], 3[1], 1 Profit: 35.365234 - Revenue: 300.000000 - Time: 105.853906 - Distance: 29.732137
Individual 91: 1, 4[0], 5[1], 3[1], 2[0], 1 Profit: -1.586353 - Revenue: 330.000000 - Time: 132.634541 - Distance: 15.620499
Individual 92: 1, 3[1], 5[1], 2[1], 4[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 93: 1, 3[0], 2[0], 4[1], 5[1], 1 Profit: -108.685557 - Revenue: 80.000000 - Time: 75.474223 - Distance: 17.204651
Individual 94: 1, 3[0], 4[1], 2[0], 5[0], 1 Profit: -154.360113 - Revenue: 50.000000 - Time: 81.744045 - Distance: 17.204651
Individual 95: 1, 3[1], 2[1], 4[1], 5[0], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 96: 1, 3[0], 4[1], 5[0], 2[0], 1 Profit: -113.229858 - Revenue: 50.000000 - Time: 65.291943 - Distance: 15.620499
Individual 97: 1, 3[0], 4[1], 2[0], 5[0], 1 Profit: -154.360113 - Revenue: 50.000000 - Time: 81.744045 - Distance: 17.204651
Individual 98: 1, 3[1], 2[1], 5[0], 4[0], 1 Profit: -137.334588 - Revenue: 340.000000 - Time: 190.933835 - Distance: 34.058773
Individual 99: 1, 4[1], 5[0], 3[1], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000

FITTEST OF GENERATION 0
Fittest: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137

PARENTS FOR GENERATION 1
RUNTIME: 0.000207 ms
Parent 0: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Parent 1: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Parent 2: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Parent 3: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137

POPULATION FOR GENERATION 1
CROSSOVER RUNTIME: 0.000366 ms
LOCAL SEARCH RUNTIME: 0.000168 ms
Individual 0: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 1: 1, 5[1], 2[1], 4[0], 3[1], 1 Profit: 65.964159 - Revenue: 370.000000 - Time: 121.614336 - Distance: 29.732137
Individual 2: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 3: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 4: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 5: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 6: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 7: 1, 5[1], 2[1], 4[0], 3[1], 1 Profit: 65.964159 - Revenue: 370.000000 - Time: 121.614336 - Distance: 29.732137
Individual 8: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 9: 1, 4[0], 5[0], 3[1], 2[0], 1 Profit: 33.489978 - Revenue: 300.000000 - Time: 106.604009 - Distance: 15.620499
Individual 10: 1, 5[1], 2[1], 4[0], 3[1], 1 Profit: 65.964159 - Revenue: 370.000000 - Time: 121.614336 - Distance: 29.732137
Individual 11: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 12: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 13: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 14: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 15: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 16: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 17: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 18: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 19: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 20: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 21: 1, 2[1], 3[1], 4[0], 5[1], 1 Profit: 54.949683 - Revenue: 370.000000 - Time: 126.020127 - Distance: 17.204651
Individual 22: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 23: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
Individual 24: 1, 2[1], 3[1], 4[0], 5[0], 1 Profit: 52.357184 - Revenue: 340.000000 - Time: 115.057127 - Distance: 17.204651
