PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.000309 ms
Individual 53: 1, 2[0], 3[0], 4[0], 5[0], 1 Profit: -116.767748 - Revenue: 0.000000 - Time: 46.707099 - Distance: 17.204651
Individual 54: 1, 5[0], 4[1], 2[0], 3[0], 1 Profit: -174.936254 - Revenue: 50.000000 - Time: 89.974502 - Distance: 29.732137
Individual 55: 1, 4[1], 2[0], 3[1], 5[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 56: 1, 4[1], 3[0], 2[0], 5[0], 1 Profit: -148.833048 - Revenue: 50.000000 - Time: 79.533219 - Distance: 17.204651
Individual 57: 1, 2[0], 3[0], 5[0], 4[1], 1 Profit: -107.922966 - Revenue: 50.000000 - Time: 63.169186 - Distance: 34.058773
Individual 58: 1, 2[1], 3[0], 4[1], 5[0], 1 Profit: -52.023223 - Revenue: 90.000000 - Time: 56.809289 - Distance: 17.204651
Individual 59: 1, 2[1], 4[1], 5[1], 3[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 60: 1, 4[1], 5[1], 3[1], 2[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 61: 1, 3[1], 4[1], 5[0], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 62: 1, 3[0], 2[0], 5[1], 4[0], 1 Profit: -134.277622 - Revenue: 30.000000 - Time: 65.711049 - Distance: 34.058773
Individual 63: 1, 4[0], 3[1], 5[1], 2[0], 1 Profit: -11.098443 - Revenue: 330.000000 - Time: 136.439377 - Distance: 15.620499
Individual 64: 1, 5[0], 2[1], 3[1], 4[0], 1 Profit: 29.930406 - Revenue: 340.000000 - Time: 124.027837 - Distance: 34.058773
Individual 65: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137
Individual 66: 1, 2[1], 4[1], 3[1], 5[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 67: 1, 2[0], 3[1], 4[0], 5[1], 1 Profit: 18.920104 - Revenue: 330.000000 - Time: 124.431959 - Distance: 17.204651
Individual 68: 1, 3[1], 5[1], 4[0], 2[0], 1 Profit: -195.579394 - Revenue: 330.000000 - Time: 210.231758 - Distance: 15.620499
Individual 69: 1, 5[1], 4[1], 2[0], 3[0], 1 Profit: -169.623640 - Revenue: 80.000000 - Time: 99.849456 - Distance: 29.732137
Individual 70: 1, 4[1], 2[0], 3[0], 5[0], 1 Profit: -176.519229 - Revenue: 50.000000 - Time: 90.607692 - Distance: 17.204651
Individual 71: 1, 3[1], 5[0], 4[0], 2[0], 1 Profit: -116.058594 - Revenue: 300.000000 - Time: 166.423438 - Distance: 15.620499
Individual 72: 1, 3[1], 2[1], 4[0], 5[0], 1 Profit: -139.185211 - Revenue: 340.000000 - Time: 191.674085 - Distance: 17.204651
Individual 73: 1, 5[1], 3[1], 4[1], 2[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 74: 1, 3[1], 2[0], 5[0], 4[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 75: 1, 2[0], 5[0], 4[1], 3[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 76: 1, 4[0], 5[0], 3[1], 2[0], 1 Profit: 33.489978 - Revenue: 300.000000 - Time: 106.604009 - Distance: 15.620499
Individual 77: 1, 5[1], 3[0], 2[0], 4[0], 1 Profit: -141.067172 - Revenue: 30.000000 - Time: 68.426869 - Distance: 34.058773
Individual 78: 1, 4[0], 2[1], 5[0], 3[1], 1 Profit: 73.482440 - Revenue: 340.000000 - Time: 106.607024 - Distance: 29.732137
Individual 79: 1, 5[0], 3[0], 2[1], 4[0], 1 Profit: -120.621314 - Revenue: 40.000000 - Time: 64.248526 - Distance: 34.058773
Individual 80: 1, 5[0], 4[0], 3[0], 2[1], 1 Profit: -76.838294 - Revenue: 40.000000 - Time: 46.735318 - Distance: 15.620499
Individual 81: 1, 5[1], 4[1], 3[0], 2[0], 1 Profit: -93.948653 - Revenue: 80.000000 - Time: 69.579461 - Distance: 15.620499
Individual 82: 1, 4[1], 5[0], 2[0], 3[0], 1 Profit: -174.864344 - Revenue: 50.000000 - Time: 89.945738 - Distance: 29.732137
Individual 83: 1, 3[0], 2[0], 5[1], 4[0], 1 Profit: -134.277622 - Revenue: 30.000000 - Time: 65.711049 - Distance: 34.058773
Individual 84: 1, 3[0], 5[1], 2[1], 4[0], 1 Profit: -108.317858 - Revenue: 70.000000 - Time: 71.327143 - Distance: 34.058773
Individual 85: 1, 5[0], 3[0], 2[0], 4[0], 1 Profit: -160.298755 - Revenue: 0.000000 - Time: 64.119502 - Distance: 34.058773
Individual 86: 1, 3[0], 2[0], 4[0], 5[1], 1 Profit: -131.419695 - Revenue: 30.000000 - Time: 64.567878 - Distance: 17.204651
Individual 87: 1, 3[0], 5[1], 2[0], 4[0], 1 Profit: -147.943199 - Revenue: 30.000000 - Time: 71.177280 - Distance: 34.058773
Individual 88: 1, 2[0], 4[0], 5[0], 3[1], 1 Profit: 61.177085 - Revenue: 300.000000 - Time: 95.529166 - Distance: 29.732137
Individual 89: 1, 2[1], 3[1], 5[1], 4[0], 1 Profit: -62.652686 - Revenue: 370.000000 - Time: 173.061074 - Distance: 34.058773
Individual 90: 1, 5[0], 4[0], 2[0], 3[0], 1 Profit: -159.751140 - Revenue: 0.000000 - Time: 63.900456 - Distance: 29.732137
Individual 91: 1, 4[0], 2[0], 5[1], 3[0], 1 Profit: -143.308444 - Revenue: 30.000000 - Time: 69.323378 - Distance: 29.732137
Individual 92: 1, 3[0], 5[1], 2[0], 4[0], 1 Profit: -147.943199 - Revenue: 30.000000 - Time: 71.177280 - Distance: 34.058773
Individual 93: 1, 5[1], 4[0], 3[1], 2[0], 1 Profit: 13.586926 - Revenue: 330.000000 - Time: 126.565229 - Distance: 15.620499
Individual 94: 1, 2[0], 3[1], 4[0], 5[0], 1 Profit: 15.506961 - Revenue: 300.000000 - Time: 113.797216 - Distance: 17.204651
Individual 95: 1, 4[1], 5[1], 3[1], 2[0], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 96: 1, 5[1], 4[0], 3[0], 2[0], 1 Profit: -94.158760 - Revenue: 30.000000 - Time: 49.663504 - Distance: 15.620499
Individual 97: 1, 3[0], 4[0], 2[0], 5[1], 1 Profit: -123.528092 - Revenue: 30.000000 - Time: 61.411237 - Distance: 17.204651
Individual 98: 1, 2[1], 3[1], 5[0], 4[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 99: 1, 4[1], 5[0], 2[0], 3[0], 1 Profit: -174.864344 - Revenue: 50.000000 - Time: 89.945738 - Distance: 29.732137

FITTEST OF GENERATION 0
Fittest: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137

PARENTS FOR GENERATION 1
RUNTIME: 0.000211 ms
Parent 0: 1, 2[0], 4[0], 5[1], 3[1], 1 Profit: 43.873372 - Revenue: 330.000000 - Time: 114.450651 - Distance: 29.732137
Parent 1: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137
Parent 2: 1, 2[0], 4[0], 5[1], 3[1], 1 Profit: 43.873372 - Revenue: 330.000000 - Time: 114.450651 - Distance: 29.732137
Parent 3: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137

POPULATION FOR GENERATION 1
CROSSOVER RUNTIME: 0.000338 ms
LOCAL SEARCH RUNTIME: 0.000118 ms
Individual 0: 1, 5[0], 4[0], 2[1], 3[1], 1 Profit: 82.836811 - Revenue: 340.000000 - Time: 102.865276 - Distance: 29.732137
Individual 1: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137
Individual 2: 1, 4[0], 5[1], 3[1], 2[0], 1 Profit: -1.586353 - Revenue: 330.000000 - Time: 132.634541 - Distance: 15.620499
Individual 3: 1, 2[1], 4[0], 3[1], 5[0], 1 Profit: 111.043710 - Revenue: 340.000000 - Time: 91.582516 - Distance: 17.204651
Individual 4: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137
Individual 5: 1, 2[0], 4[0], 5[1], 3[1], 1 Profit: 43.873372 - Revenue: 330.000000 - Time: 114.450651 - Distance: 29.732137
Individual 6: 1, 2[1], 4[0], 5[1], 3[1], 1 Profit: 80.403418 - Revenue: 370.000000 - Time: 115.838633 - Distance: 29.732137
Individual 7: 1, 2[0], 4[0], 5[1], 3[1], 1 Profit: 43.873372 - Revenue: 330.000000 - Time: 114.450651 - Distance: 29.732137
Individual 8: 1, 2[0], 4[0], 5[1], 3[1], 1 Profit: 43.873372 - Revenue: 330.000000 - Time: 114.450651 - Distance: 29.732137
